CHISQcheck_ratioPRF

Command line: -o HiQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 500 -q 500

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.658   2.06022      12.1888         0.999519
    0.66    2.10162      12.226          0.999529
    0.662   2.11224      12.2631         0.999538
    0.664   2.12834      12.3003         0.999547
    0.666   2.15212      12.3374         0.999556
    0.668   2.19942      12.3746         0.999565
    0.67    2.20946      12.4118         0.999573
    0.672   2.22472      12.4489         0.999582
    0.674   2.22985      12.4861         0.99959
    0.676   2.23177      12.5232         0.999598
    0.678   2.26632      12.5604         0.999606
    0.68    2.26951      12.5976         0.999614
    0.682   2.26956      12.6347         0.999621
    0.684   2.36622      12.6719         0.999629
    0.686   2.37661      12.709          0.999636
    0.688   2.41602      12.7462         0.999643
    0.69    2.45998      12.7834         0.99965
    0.692   2.51355      12.8205         0.999657
    0.694   2.56258      12.8577         0.999664
    0.696   2.63125      12.8949         0.999671
    0.698   2.67213      12.932          0.999677
    0.7     2.67465      12.9692         0.999683
    0.702   2.69939      13.0063         0.99969
    0.704   2.761        13.0435         0.999696
    0.706   2.76839      13.0807         0.999702
    0.708   2.80134      13.1178         0.999707
    0.71    2.88121      13.155          0.999713
    0.712   2.8887       13.1921         0.999719
    0.714   2.90342      13.2293         0.999724
    0.716   2.90596      13.2665         0.99973
    0.718   2.9233       13.3036         0.999735
    0.72    3.01296      13.3408         0.99974
    0.722   3.18661      13.3779         0.999745
    0.724   3.21307      13.4151         0.99975
    0.726   3.2599       13.4523         0.999755
    0.728   3.26544      13.4894         0.99976
    0.73    3.2714       13.5266         0.999765
    0.732   3.28644      13.5637         0.999769
    0.734   3.3065       13.6009         0.999774
    0.736   3.33179      13.6381         0.999778
    0.738   3.33282      13.6752         0.999783
    0.74    3.37801      13.7124         0.999787
    0.742   3.40468      13.7496         0.999791
    0.744   3.40839      13.7867         0.999795
    0.746   3.4286       13.8239         0.999799
    0.748   3.43158      13.861          0.999803
    0.75    3.43996      13.8982         0.999807
    0.752   3.44748      13.9354         0.999811
    0.754   3.4519       13.9725         0.999814
    0.756   3.46587      14.0097         0.999818
    0.758   3.47371      14.0468         0.999822
    0.76    3.47737      14.084          0.999825
    0.762   3.48524      14.1212         0.999829
    0.764   3.5071       14.1583         0.999832
    0.766   3.52081      14.1955         0.999835
    0.768   3.53914      14.2326         0.999838
    0.77    3.5644       14.2698         0.999842
    0.772   3.5785       14.307          0.999845
    0.774   3.60794      14.3441         0.999848
    0.776   3.61894      14.3813         0.999851
