CHISQcheck_ratioPRF

Command line: -o LowQ -y chi2 -b -f -k 500 -n 100 -s 1 -p 50 -q 50

AUC: None
  CumProb        2Delta       chi^2    chi^2_Prob
    0.826   5.16339      36.5882         1
    0.828   5.31426      36.677          1
    0.83    5.35821      36.7658         1
    0.832   5.4863       36.8546         1
    0.834   5.52437      36.9434         1
    0.836   5.61482      37.0322         1
    0.838   5.6244       37.121          1
    0.84    5.83655      37.2098         1
    0.842   5.85719      37.2986         1
    0.844   5.85972      37.3874         1
    0.846   5.86597      37.4762         1
    0.848   6.03777      37.565          1
    0.85    6.19788      37.6538         1
    0.852   6.20657      37.7426         1
    0.854   6.22717      37.8314         1
    0.856   6.28026      37.9203         1
    0.858   6.31194      38.0091         1
    0.86    6.32616      38.0979         1
    0.862   6.39914      38.1867         1
    0.864   6.4349       38.2755         1
    0.866   6.70767      38.3643         1
    0.868   6.88431      38.4531         1
    0.87    6.89219      38.5419         1
    0.872   7.00343      38.6307         1
    0.874   7.05779      38.7195         1
    0.876   7.10558      38.8083         1
    0.878   7.10581      38.8971         1
    0.88    7.23365      38.9859         1
    0.882   7.40394      39.0747         1
    0.884   7.44603      39.1635         1
    0.886   7.45972      39.2523         1
    0.888   7.51991      39.3412         1
    0.89    7.55285      39.43           1
    0.892   7.71997      39.5188         1
    0.894   7.77221      39.6076         1
    0.896   7.89996      39.6964         1
    0.898   8.22992      39.7852         1
    0.9     8.34958      39.874          1
    0.902   8.35831      39.9628         1
    0.904   8.67519      40.0516         1
    0.906   8.79981      40.1404         1
    0.908   8.83132      40.2292         1
    0.91    8.85473      40.318          1
    0.912   9.24745      40.4068         1
    0.914   9.47618      40.4956         1
    0.916   9.77788      40.5844         1
    0.918   9.90229      40.6732         1
    0.92    9.91607      40.7621         1
    0.922   9.99259      40.8509         1
    0.924  10.0296       40.9397         1
    0.926  10.0461       41.0285         1
    0.928  10.0849       41.1173         1
    0.93   10.155        41.2061         1
    0.932  10.2098       41.2949         1
    0.934  10.3689       41.3837         1
    0.936  10.585        41.4725         1
    0.938  11.0173       41.5613         1
    0.94   11.0689       41.6501         1
    0.942  11.3916       41.7389         1
    0.944  12.0501       41.8277         1
    0.946  12.0526       41.9165         1
    0.948  12.5          42.0053         1
    0.95   12.6554       42.0941         1
    0.952  12.7184       42.183          1
    0.954  12.7795       42.2718         1
    0.956  13.4006       42.3606         1
    0.958  13.5094       42.4494         1
    0.96   13.5185       42.5382         1
    0.962  14.1931       42.627          1
    0.964  14.8079       42.7158         1
    0.966  15.4461       42.8046         1
    0.968  15.6492       42.8934         1
    0.97   16.163        42.9822         1
    0.972  16.207        43.071          1
    0.974  17.2112       43.1598         1
    0.976  17.2459       43.2486         1
    0.978  17.2968       43.3374         1
    0.98   17.8567       43.4262         1
    0.982  19.2589       43.515          1
    0.984  19.3925       43.6039         1
    0.986  19.4081       43.6927         1
    0.988  19.7445       43.7815         1
    0.99   20.7602       43.8703         1
    0.992  21.9981       43.9591         1
    0.994  23.0424       44.0479         1
    0.996  27.3283       44.1367         1
    0.998  28.2336       44.2255         1
    1      44.3143       44.3143         1
